overallRank,villageRank,polygonId,village,district,regency,areaHa,priorityClass,priorityLabel,priorityScore,needScore,suitabilityScore,riskScore,confidence,decisionReason,methodVersion
79,7,MPR-4062FB122B,Sungai Mas,Kuala Kampar,Pelalawan,0.19,P2,Regenerasi alami terbantu,69.0,57,85,32,tinggi,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
80,8,MPR-13B4DC9E6A,Sungai Mas,Kuala Kampar,Pelalawan,0.13,P2,Regenerasi alami terbantu,69.0,57,85,32,tinggi,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
81,9,MPR-9D584102C9,Sungai Mas,Kuala Kampar,Pelalawan,0.12,P2,Regenerasi alami terbantu,69.0,57,85,32,tinggi,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
82,10,MPR-D31AA7897B,Sungai Mas,Kuala Kampar,Pelalawan,0.12,P2,Regenerasi alami terbantu,69.0,57,85,32,tinggi,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
83,11,MPR-7A1E2848C9,Sungai Mas,Kuala Kampar,Pelalawan,0.1,P2,Regenerasi alami terbantu,69.0,57,85,32,tinggi,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
84,12,MPR-B674ECB2D6,Sungai Mas,Kuala Kampar,Pelalawan,0.1,P2,Regenerasi alami terbantu,69.0,57,85,32,tinggi,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
85,13,MPR-C025C43E01,Sungai Mas,Kuala Kampar,Pelalawan,0.1,P2,Regenerasi alami terbantu,69.0,57,85,32,tinggi,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
86,14,MPR-306EC04F02,Sungai Mas,Kuala Kampar,Pelalawan,0.08,P2,Regenerasi alami terbantu,69.0,57,85,32,tinggi,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
87,15,MPR-C91B0311B7,Sungai Mas,Kuala Kampar,Pelalawan,0.08,P2,Regenerasi alami terbantu,69.0,57,85,32,tinggi,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
88,16,MPR-0CA7976D75,Sungai Mas,Kuala Kampar,Pelalawan,0.05,P2,Regenerasi alami terbantu,69.0,57,85,32,tinggi,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
89,17,MPR-19E0924A28,Sungai Mas,Kuala Kampar,Pelalawan,0.05,X,Tidak direkomendasikan,69.0,57,85,32,tinggi,Area terlalu kecil dan terisolasi untuk diprioritaskan.,mangrove-priority-2016-2025-v0.1
90,18,MPR-D72D120B6A,Sungai Mas,Kuala Kampar,Pelalawan,0.05,P2,Regenerasi alami terbantu,69.0,57,85,32,tinggi,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
91,19,MPR-3B7F95F702,Sungai Mas,Kuala Kampar,Pelalawan,1.07,P2,Regenerasi alami terbantu,68.9,58,84,33,tinggi,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
92,20,MPR-D36B6C5524,Sungai Mas,Kuala Kampar,Pelalawan,0.87,P2,Regenerasi alami terbantu,68.9,58,84,33,tinggi,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
93,21,MPR-17DDBEECC3,Sungai Mas,Kuala Kampar,Pelalawan,0.74,P2,Regenerasi alami terbantu,68.9,58,84,33,tinggi,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
94,2,MPR-544A31A8F7,Teluk,Kuala Kampar,Pelalawan,0.31,P2,Regenerasi alami terbantu,68.9,56,85,30,sedang,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
95,3,MPR-59BE5FDCC2,Teluk,Kuala Kampar,Pelalawan,0.29,P2,Regenerasi alami terbantu,68.9,56,85,30,sedang,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
96,4,MPR-C7E3FEAF6B,Teluk,Kuala Kampar,Pelalawan,0.285,P2,Regenerasi alami terbantu,68.9,56,85,30,sedang,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
97,5,MPR-611F7DF70A,Teluk,Kuala Kampar,Pelalawan,0.28,P2,Regenerasi alami terbantu,68.9,56,85,30,sedang,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
98,6,MPR-153027EC0A,Teluk,Kuala Kampar,Pelalawan,0.26,P2,Regenerasi alami terbantu,68.9,56,85,30,sedang,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
